sId,studentId,ssId,status,isattended,attendedDate,acid
105184,4491,7323,1,1,7/8/2019 9:22,2
105185,4492,7323,1,1,7/8/2019 9:22,2
105186,4493,7323,1,1,7/8/2019 9:22,2
105187,4494,7323,1,1,7/8/2019 9:22,2
105188,4495,7323,1,1,7/8/2019 9:22,2
105189,4496,7323,1,1,7/8/2019 9:22,2
105190,4497,7323,1,1,7/8/2019 9:22,2
105191,4498,7323,1,1,7/8/2019 9:22,2
105192,4499,7323,1,1,7/8/2019 9:22,2
105193,4500,7323,1,1,7/8/2019 9:22,2
105194,4501,7323,1,1,7/8/2019 9:22,2
105195,4502,7323,1,1,7/8/2019 9:22,2
105196,4503,7323,1,1,7/8/2019 9:22,2
105197,4505,7323,1,1,7/8/2019 9:22,2
105198,4506,7323,1,1,7/8/2019 9:22,2
105199,4507,7323,1,1,7/8/2019 9:22,2
105200,4508,7323,1,1,7/8/2019 9:22,2
105201,4509,7323,1,1,7/8/2019 9:22,2
105202,4510,7323,1,1,7/8/2019 9:22,2
105203,4511,7323,1,1,7/8/2019 9:22,2
105204,4512,7323,1,1,7/8/2019 9:22,2
105205,4513,7323,1,1,7/8/2019 9:22,2
105206,4514,7323,1,1,7/8/2019 9:22,2
105207,4515,7323,1,1,7/8/2019 9:22,2
105208,4516,7323,1,1,7/8/2019 9:22,2
105209,4517,7323,1,1,7/8/2019 9:22,2
105210,4518,7323,1,1,7/8/2019 9:22,2
105211,4519,7323,1,1,7/8/2019 9:22,2
105212,5926,7323,1,1,7/8/2019 9:22,2
105213,4513,7338,1,1,7/8/2019 9:22,2
105214,4464,7324,1,1,7/8/2019 9:22,2
105215,4465,7324,1,1,7/8/2019 9:22,2
105216,4466,7324,1,1,7/8/2019 9:22,2
105217,4467,7324,1,1,7/8/2019 9:22,2
105218,4468,7324,1,1,7/8/2019 9:22,2
105219,4469,7324,1,1,7/8/2019 9:22,2
105220,4471,7324,1,1,7/8/2019 9:22,2
105221,4472,7324,1,1,7/8/2019 9:22,2
105222,4473,7324,1,1,7/8/2019 9:22,2
105223,4474,7324,1,1,7/8/2019 9:22,2
105224,4475,7324,1,1,7/8/2019 9:22,2
105225,4476,7324,1,1,7/8/2019 9:22,2
105226,4477,7324,1,1,7/8/2019 9:22,2
105227,4478,7324,1,1,7/8/2019 9:22,2
105228,4479,7324,1,1,7/8/2019 9:22,2
105229,4481,7324,1,1,7/8/2019 9:22,2
105230,4482,7324,1,1,7/8/2019 9:22,2
105231,4483,7324,1,1,7/8/2019 9:22,2
105232,4484,7324,1,1,7/8/2019 9:22,2
105233,4485,7324,1,1,7/8/2019 9:22,2
105234,4486,7324,1,1,7/8/2019 9:22,2
105235,4487,7324,1,1,7/8/2019 9:22,2
105236,4488,7324,1,1,7/8/2019 9:22,2
105237,4489,7324,1,1,7/8/2019 9:22,2
105238,4490,7324,1,1,7/8/2019 9:22,2
105239,4491,7324,1,1,7/8/2019 9:22,2
105240,4492,7324,1,1,7/8/2019 9:22,2
105241,4493,7324,1,1,7/8/2019 9:22,2
105242,4494,7324,1,1,7/8/2019 9:22,2
105243,4495,7324,1,1,7/8/2019 9:22,2
105244,4496,7324,1,1,7/8/2019 9:22,2
105245,4497,7324,1,1,7/8/2019 9:22,2
105246,4498,7324,1,1,7/8/2019 9:22,2
105247,4499,7324,1,1,7/8/2019 9:22,2
105248,4500,7324,1,1,7/8/2019 9:22,2
105249,4501,7324,1,1,7/8/2019 9:22,2
105250,4502,7324,1,1,7/8/2019 9:22,2
105251,4503,7324,1,1,7/8/2019 9:22,2
105252,4505,7324,1,1,7/8/2019 9:22,2
105253,4506,7324,1,1,7/8/2019 9:22,2
105254,4507,7324,1,1,7/8/2019 9:22,2
105255,4508,7324,1,1,7/8/2019 9:22,2
105256,4509,7324,1,1,7/8/2019 9:22,2
105257,4510,7324,1,1,7/8/2019 9:22,2
105258,4511,7324,1,1,7/8/2019 9:22,2
105259,4512,7324,1,1,7/8/2019 9:22,2
105260,4513,7324,1,1,7/8/2019 9:22,2
105261,4514,7324,1,1,7/8/2019 9:22,2
105262,4515,7324,1,1,7/8/2019 9:22,2
105263,4516,7324,1,1,7/8/2019 9:22,2
105264,4517,7324,1,1,7/8/2019 9:22,2
105265,4518,7324,1,1,7/8/2019 9:22,2
105266,4519,7324,1,1,7/8/2019 9:22,2
105267,5926,7324,1,1,7/8/2019 9:22,2
105268,4513,7339,1,1,7/8/2019 9:22,2
105269,3398,7240,1,1,7/9/2019 9:13,2
105270,3408,7240,1,1,7/9/2019 9:13,2
105271,3410,7240,1,1,7/9/2019 9:13,2
105272,3414,7240,1,1,7/9/2019 9:13,2
105273,3418,7240,1,1,7/9/2019 9:13,2
105274,3421,7240,1,1,7/9/2019 9:13,2
105275,3888,7190,1,1,7/9/2019 13:41,2
105276,3922,7190,1,1,7/9/2019 13:41,2
105277,3931,7190,1,1,7/9/2019 13:41,2
105278,4750,7190,1,1,7/9/2019 13:41,2
105279,4757,7190,1,1,7/9/2019 13:41,2
105280,3888,7195,1,1,7/11/2019 9:23,2
105281,3922,7195,1,1,7/11/2019 9:23,2
105282,3931,7195,1,1,7/11/2019 9:23,2
105283,4750,7195,1,1,7/11/2019 9:23,2
105284,4757,7195,1,1,7/11/2019 9:23,2
105285,3888,7187,1,1,7/11/2019 9:23,2
105286,3931,7187,1,1,7/11/2019 9:23,2
105287,4750,7187,1,1,7/11/2019 9:23,2
105288,4757,7187,1,1,7/11/2019 9:23,2
105289,3141,7184,1,1,7/11/2019 9:23,2
105290,3888,7186,1,1,7/15/2019 10:56,2
105291,3922,7186,1,1,7/15/2019 10:56,2
105292,3931,7186,1,1,7/15/2019 10:56,2
105293,4750,7186,1,1,7/15/2019 10:56,2
105294,4757,7186,1,1,7/15/2019 10:56,2
105295,3888,7194,1,1,7/15/2019 10:56,2
105296,3922,7194,1,1,7/15/2019 10:56,2
105297,3931,7194,1,1,7/15/2019 10:56,2
105298,4750,7194,1,1,7/15/2019 10:56,2
105299,4757,7194,1,1,7/15/2019 10:56,2
105300,3931,7811,1,1,7/15/2019 10:56,2
105301,5147,7200,1,1,7/15/2019 10:57,2
105302,5147,7198,1,1,7/15/2019 10:57,2
105303,3369,7210,1,1,7/15/2019 11:25,2
105304,3370,7210,1,1,7/15/2019 11:25,2
105305,3371,7210,1,1,7/15/2019 11:25,2
105306,3372,7210,1,1,7/15/2019 11:25,2
105307,3373,7210,1,1,7/15/2019 11:25,2
105308,3375,7210,1,1,7/15/2019 11:25,2
105309,3376,7210,1,1,7/15/2019 11:25,2
105310,3377,7210,1,1,7/15/2019 11:25,2
