subId,subjectName,subjectType,subName
278,Advanced Mechanics of Solids,Theory,ME202
279,Design of Power Transmission Elements,Theory,04ME6507
280,ADDITIVE MANUFACTURING,Theory,04ME6511
281,Advanced measurements laboratory,Lab,04ME6593
282,Computational Intelligence,Theory,04CS6101
283,Advanced Data Structures and Algorithms,Theory,04CS6103
284,Computer Security and Applied Cryptography,Theory,04CS6105
285,Modern Computer Networks,Theory,04CS6107
286,Object Oriented Software Engineering,Theory,04CS6111
287,Network Simulation Lab,Theory,04CS6193
288,Analytical methods in Engineering,Theory,04CE6401
289,Theory of Elasticity,Theory,04CE6403
290,Structural Dynamics,Theory,04CE6411
291,Advanced Design of Concrete Structures,Theory,04CE6407
292,Advanced Concrete Technology,Theory,CE361
293,Computer Applications Lab,Theory,CA Lab
294,Construction Management,Theory,04CE6405
295,"Construction Planning, Scheduling and Control",Theory,CPSC
296,Electronics Engineering Workshop,Lab,EC110
297,Introduction to Civil Engineering  - Tutorial,Theory,ICE T
298,ENGINEERING MECHANICS - Tutorial,Theory,EM T
299,Introduction to  Chemical Engineering - Tutorial,Theory,ICH T
300,Introduction to Electronics Engineering - Tutorial,Theory,IEE T
301,Engineering Graphics - Tutorial,Theory,EG T
302,Engineering Chemistry - Tutorial,Theory,EC T
303,Calculus - Tutorial,Theory,C T
304,Engineering Chemistry - Tutorial,Theory,EC T
305,Introduction to Mechanical Engineering - Tutorial,Theory,IME T
306,Introduction to Sustainable Engineering - Tutorial,Theory,ISE T
307,BASIC ELECTRICAL ENGINEERING-Tutorial,Theory,BEE
308,Introduction to Nanotechnology-Tutorial,Theory,INT
309,Introduction to computing and problem solving Tutorial,Theory,ICT
310,Mathematical Methods for NanotechnologyTutorial,Theory,MMNT
311,CALCULUS TUTORIAL ,Theory,CT
312,ELECTRICAL ENGINEERING TUTORIAL ,Theory,EET
313,Physics-Tutorial,Theory,PSYT
314,Basic Electronices-Tutorial,Theory,BET
315,BASIC MECHANICAL ENGINEERING - Tutorial,Theory,BME T
316,Introduction to electrical Engineering - Tutotial,Theory,IEE T
317,Big Data Processing,Theory,BDP
318,Mini Project-Masters Thesis Phase -I,Theory,Miniproject
319,DESIGN OF MACHINE ELEMENTS - TUTORIAL,Theory,DME T
320,Dynamics Of Machinery - Tutorial,Theory,DM T
321,Gas Dynamics And Jet Propulsion - Tutorial,Theory,GDJP T
322,Refrigeration And Air Conditioning - Tutorial,Theory,RAC T
323,Industrial Engineering - Tutorial,Theory,IT T
324,Sales And Marketing Tutorial,Theory,SM T
325,Engg. Mathematics IV - Tutorial,Theory,EM IV T
326,Advanced Mechanics Of Materials Tutorial,Theory,AMM T
327,Kinematics Of Machinery Tutorial,Theory,KM T
328,I.C Engines & Combustion Tutorial,Theory,ICECT
329,Thermodynamics Tutorial,Theory,T T
330,Computer Aided Design & Manufacturing Tutorial,Theory,CAD T
331,Engg. Mathematics II - Tutorial,Theory,EM II T
332,Economics And Communication Skills - Tutorial,Theory,EC T
333,Fluid Mechanics - Tutorial,Theory,FM T
334,Metallurgy And Material Science - Tutorial,Theory,MMS T
335,Programming In C - Tutorial,Theory,C T
336,Strength Of Materials And Structural Engineering - Tutorial,Theory,SMS T
337,MECHANICS OF SOLIDS -Tutorial,Theory,MS T
338,FLUID MECHANICS -Tutorial,Theory,FM T
339,GEOLOGY -Tutorial,Theory,G T
340,SURVEYING 1 -Tutorial,Theory,S1 T
341,ENGINEERING MATHEMATICS -Tutorial,Theory,EM  T
342,STRUCTURAL ANALYSIS I -Tutorial,Theory,SA T
343,DESIGN OF CONCRETE STRUCTURES I -Tutorial,Theory,DCS T
344,GEOTECHNICAL ENGINEERING I -Tutorial,Theory,GE 1
345,QUALITY SURVEYING -Tutorial,Theory,QS T
346,COMPUTER PROGRAMMING -Tutorial,Theory,CP T
347,DESIGN OF HYDRAULIC STRUCTURES -Tutorial,Theory,DHS T
348,ARCHITECTURE AND TOWN PLANNING -Tutorial,Theory,ATT T
349,TRANSPORTATION ENGINEERING II -Tutorial,Theory,TE T
350,PRESTRESSED CONCRETE -Tutorial,Theory,PC T
351,ENVIRONMENTAL ENGINEERING II -Tutorial,Theory,EE 2
352,DESIGN OF CONCRETE STRUCTURES II -Tutorial,Theory,DCS T
353,Theory of Vibration - Tutorial,Theory,TV T
354,Advanced Mechanics of Solids - Tutorial,Theory,AMS T
355,Research Methodology - Tutorial,Theory,RM T
356,Engineering Mathematics II - Tutorial,Theory,EM II T
357,English - Tutorial,Theory,Eng T
358,Solid State Devices - Tutorial,Theory,SSD T
359,Analog Circuits - I - Tutorial,Theory,AC I T
360,Control Systems - Tutorial,Theory,CS T
361,Digital System Design - Tutorial,Theory,DSD T
362,Electrical Drives and Power Electronics - Tutorial,Theory,EDPE T
363,Applied Electromagnetic Theory - Tutorial,Theory,AET
364,Microprocessors and Applications - Tutorial,Theory,MA T
365,VLSI Design - Tutorial,Theory,VLSI T
366,Information Theory and Coding - Tutorial,Theory,ITC T
367,Microwave Engineering - Tutorial,Theory,ME T
368,Electronic Instrumentation - Tutorial,Theory,EI T
369,Embedded Systems - Tutorial,Theory,ES T
370,Elective II - Tutorial,Theory,Elective II - T
371,Network Theory - Tutorial,Theory,NT T
372,Problem Solving and Computer Programming-Tutorial,Lab,PSC
373,Switching Theory and Logic Design Tutorial,Theory,STLD
374,"Electronic Devices and Circuits 	Tutorial",Theory,EDC
375,Computer Organization Tutorial,Theory,CO
376,ENGINEERING MATHEMATICS IV TUTORIAL,Theory,EM IV
377,Principles of  Management Tutorial,Theory,POM
378,Database Management Systems Tutorial,Theory,DBMS
379,Digital Signal Processing Tutorial,Theory,DSP
380,Operating Systems Tutorial,Theory,OS
381,Advanced Microprocessors & Peripherals Tutorial,Theory,AMP
382,Web Technologies Tutorial,Theory,WT
383,Compiler Construction Tutorial,Theory,CC
384,Computer Graphics Tutorial,Theory,CG
385,Object Oriented Modeling and Design Tutorial,Theory,OOMD
386,Principles of Programming Languages Tutorialal,Theory,PPL
387,Elective II Tutorial,Elective,EL-II
388,Computer Security,Theory,CS
389,InT AND DISTRIBUTED APPLICATIONS ,Theory,ITDA
390,DATA MINING,Theory,DM
391,COMPUTER GRAPHICS Lab (using OpenGL),Theory,OpenGL
392,USER INTERFACE DESIGN,Theory,UID
393,Mini Project,Theory,RLMCA351
394,Advanced Communication Networks,Theory,04EC6302
395,Multicarrier and MIMO Communication Systems,Theory,04EC6304
396,Adaptive Signal Processing Techniques,Theory,04EC6306
397,Advanced Wireless & Mobile Communication system,Theory,04EC6308
398,Elective 2- Neural Networks and applications,Theory,NNA
399,Communication Engineering Lab 2,Theory,04EC6394
400,Accounting and Financial Management,Theory,INMCA207
401,Visual Programming(VB),Theory,VB
402,Software Lab-V1(Visual Programming Lab),Theory,VB LAb
